Item	Category	Sources
Bonewicca Soother's Belt	Instance	The Swallow's Compass
Bonewicca Shadow's Belt	Instance	The Swallow's Compass
Royal Volunteer's Belt of Maiming	Instance	The Burn	Saint Mocianne's Arboretum (Hard)
Bonewicca Skinner's Belt	Instance	The Swallow's Compass
Ivalician Chemist's Belt	Instance	The Ridorana Lighthouse
Genji Obi of Maiming	Instance	Deltascape V1.0 (Savage)
Royal Volunteer's Belt of Casting	Instance	The Burn	Saint Mocianne's Arboretum (Hard)
Plundered Bliaud	Instance	Sastasha	The Tam-Tara Deepcroft	Copperbell Mines
Plundered Jacket	Instance	Sastasha	The Tam-Tara Deepcroft	Copperbell Mines
Plundered Haubergeon	Instance	Sastasha	The Tam-Tara Deepcroft	Copperbell Mines
Plundered Cuirass	Instance	Sastasha	The Tam-Tara Deepcroft	Copperbell Mines
Acolyte's Robe	Instance	Sastasha	The Tam-Tara Deepcroft	Copperbell Mines
Foestriker's Tabard	Instance	Sastasha	The Tam-Tara Deepcroft	Copperbell Mines
Immaculate Necklace of Slaying	Instance	The Crown of the Immaculate (Extreme)
Shadowless Necklace of Casting	Instance	The Heroes' Gauntlet
Anamnesis Choker of Fending	Instance	Anamnesis Anyder
Shadowless Necklace of Aiming	Instance	The Heroes' Gauntlet
Edengrace Choker of Slaying	Acquire	Edengrace Necklace Coffer
Anamnesis Choker of Slaying	Instance	Anamnesis Anyder
Edengrace Choker of Casting	Acquire	Edengrace Necklace Coffer
Immaculate Necklace of Fending	Instance	The Crown of the Immaculate (Extreme)
Anamnesis Choker of Aiming	Instance	Anamnesis Anyder
Edengrace Choker of Fending	Acquire	Edengrace Necklace Coffer
Immaculate Necklace of Casting	Instance	The Crown of the Immaculate (Extreme)
Shadowless Necklace of Fending	Instance	The Heroes' Gauntlet
Shadowless Necklace of Healing	Instance	The Heroes' Gauntlet
Anamnesis Choker of Casting	Instance	Anamnesis Anyder
Shadowless Necklace of Slaying	Instance	The Heroes' Gauntlet
Anamnesis Choker of Healing	Instance	Anamnesis Anyder
Edengrace Choker of Aiming	Acquire	Edengrace Necklace Coffer
Immaculate Necklace of Aiming	Instance	The Crown of the Immaculate (Extreme)
Edengrace Choker of Healing	Acquire	Edengrace Necklace Coffer
Void Blue Dye	Instance	The Fractal Continuum
Iris Purple Dye	Instance	The Aery
Currant Purple Dye	Instance	The Aery
Shadow Blue Dye	Instance	Sohm Al
Lavender Purple Dye	Instance	The Aery
Raptor Blue Dye	Instance	Neverreap
Grape Purple Dye	Instance	The Aery
Ghost Barque Choker of Healing	Instance	The Sirensong Sea
Ghost Barque Choker of Aiming	Instance	The Sirensong Sea
Alexandrian Neckband of Healing	Instance	Alexander - The Eyes of the Creator (Savage)
Alexandrian Neckband of Aiming	Instance	Alexander - The Eyes of the Creator (Savage)
Ghost Barque Choker of Slaying	Instance	The Sirensong Sea
Alexandrian Neckband of Fending	Instance	Alexander - The Eyes of the Creator (Savage)
Augmented Shire Conservator's Choker	Acquire	Shire Conservator's Accessories Coffer
Ghost Barque Choker of Fending	Instance	The Sirensong Sea
Ghost Barque Choker of Casting	Instance	The Sirensong Sea
Augmented Shire Philosopher's Choker	Acquire	Shire Philosopher's Accessories Coffer
Alexandrian Neckband of Slaying	Instance	Alexander - The Eyes of the Creator (Savage)
Augmented Shire Pankratiast's Choker	Acquire	Shire Pankratiast's Accessories Coffer
Augmented Shire Custodian's Choker	Acquire	Shire Custodian's Accessories Coffer
Augmented Shire Preceptor's Choker	Acquire	Shire Preceptor's Accessories Coffer
Alexandrian Neckband of Casting	Instance	Alexander - The Eyes of the Creator (Savage)
Templar's Skirt	Instance	Dzemael Darkhold
Vigil Skirt	Instance	The Stone Vigil
Vigil Tights	Instance	The Stone Vigil
Coliseum Loincloth	Instance	Dzemael Darkhold
Harlequin's Tights	Instance	Dzemael Darkhold
Sentinel's Trousers	Instance	Dzemael Darkhold
Coliseum Subligar	Instance	Dzemael Darkhold
Buccaneer's Sarouel	Instance	Dzemael Darkhold
Paladin's Trousers	Instance	Cutter's Cry
Vigil Sarouel	Instance	The Stone Vigil
Seagrot Water	Instance	Sastasha
Growth Formula Eta	Instance	The Burn	The Fractal Continuum (Hard)	The Ghimlyt Dark	The Swallow's Compass	Hells' Lid	The Drowned City of Skalla	Saint Mocianne's Arboretum (Hard)
Treant Sap	Drop	Diseased Treant	Giant Treant	Old-growth Treant	Sylphlands Sentinel	Dryad	Great Oak	Snakemolt Treant	Treant
Fine Wax	Instance	Haukke Manor
Idealized Foot Gear Coffer	Instance	Memoria Misera (Extreme)
Idealized Leg Gear Coffer	Instance	Memoria Misera (Extreme)
Idealized Chest Gear Coffer	Instance	Memoria Misera (Extreme)
Idealized Hand Gear Coffer	Instance	Memoria Misera (Extreme)
Idealized Head Gear Coffer	Instance	Memoria Misera (Extreme)
No.2 Type B Materiel Storage Crate	Instance	The Copied Factory
Savage Aim Materia VII	Drop	Laboratory Eggplant	Laboratory Garlic	Laboratory Onion	Laboratory Queen	Laboratory Tomato	Terminus Lacerator	Terminus Reaper	Terminus Shadower	Terminus Slitherer	Terminus Twitcher	Anyder Harpooner	Anyder Squib	Cosmos Witchweed	Cosmos Ya-te-veo	Draco Statue	Paraporxie	Spectral Bard	Spectral Bard	Spectral Bard	Spectral Dragoon	Spectral Ink Mage	Spectral White Mage	Flanborg
Savage Aim Materia VII	Instance	The Heroes' Gauntlet	Amaurot	The Grand Cosmos	The Twinning	Anamnesis Anyder	Akadaemia Anyder
Savage Might Materia V	Drop	Prototype Empusa	Arboretum Bifericeras	Blooming Biloko	Immaculate Apa	Muddy Mata	Withered Kaluk	12th Legion Canis Pugnax	12th Legion Rearguard	Stone Phoebad	Urolith Sentinel	Dancing Bear	Gyr Abanian Zu	Singha	Singha Cub	Hellish Naked Yumemi	Kaja Of The Seven Flames	Sea Scorpion	Uwabami	Charred Coblyn	Gigaworm	River Hikagiri	River Scorpion	River Unkiu	Joi Summoner	Karakuri Onmitsu
Savage Might Materia V	Instance	The Ghimlyt Dark
Battledance Materia VII	Drop	Laboratory Eggplant	Laboratory Garlic	Laboratory Onion	Laboratory Queen	Laboratory Tomato	Terminus Lacerator	Terminus Reaper	Terminus Shadower	Terminus Slitherer	Terminus Twitcher	Anyder Harpooner	Anyder Squib	Cosmos Witchweed	Cosmos Ya-te-veo	Draco Statue	Paraporxie	Spectral Bard	Spectral Bard	Spectral Bard	Spectral Dragoon	Spectral Ink Mage	Spectral White Mage	Flanborg
Battledance Materia VII	Instance	The Heroes' Gauntlet	Amaurot	The Grand Cosmos	The Twinning	Anamnesis Anyder	Akadaemia Anyder
Quicktongue Materia VIII	Drop	Engendered Pegasus	Engendered Soma	Evil Armor	Terminus Howler	Terminus Idolizer	Terminus Vanquisher	Anyder Diviner	Lord Tolthewil	Ser Grymme	Ser Intheran	Ser Mothbert	Ser Phinibert	Spectral Bard	Spectral Black Mage	Spectral Paladin	Spectral Samurai	Spectral Samurai	Mark CXLIV Thermocoil Boilbuster	Vitalized Iksalion
Savage Aim Materia V	Drop	Prototype Empusa	Arboretum Bifericeras	Blooming Biloko	Immaculate Apa	Muddy Mata	Withered Kaluk	12th Legion Canis Pugnax	12th Legion Rearguard	Stone Phoebad	Urolith Sentinel	Dancing Bear	Gyr Abanian Zu	Singha	Singha Cub	Hellish Naked Yumemi	Kaja Of The Seven Flames	Sea Scorpion	Uwabami	Charred Coblyn	Gigaworm	River Hikagiri	River Scorpion	River Unkiu	Joi Summoner	Karakuri Onmitsu
Savage Aim Materia V	Instance	The Ghimlyt Dark
Savage Might Materia VII	Drop	Laboratory Eggplant	Laboratory Garlic	Laboratory Onion	Laboratory Queen	Laboratory Tomato	Terminus Lacerator	Terminus Reaper	Terminus Shadower	Terminus Slitherer	Terminus Twitcher	Anyder Harpooner	Anyder Squib	Cosmos Witchweed	Cosmos Ya-te-veo	Draco Statue	Paraporxie	Spectral Bard	Spectral Bard	Spectral Bard	Spectral Dragoon	Spectral Ink Mage	Spectral White Mage	Flanborg
Savage Might Materia VII	Instance	The Heroes' Gauntlet	Amaurot	The Grand Cosmos	The Twinning	Anamnesis Anyder	Akadaemia Anyder
Savage Might Materia VIII	Drop	Engendered Pegasus	Engendered Soma	Evil Armor	Terminus Howler	Terminus Idolizer	Terminus Vanquisher	Anyder Diviner	Lord Tolthewil	Ser Grymme	Ser Intheran	Ser Mothbert	Ser Phinibert	Spectral Bard	Spectral Black Mage	Spectral Paladin	Spectral Samurai	Spectral Samurai	Mark CXLIV Thermocoil Boilbuster	Vitalized Iksalion
Battledance Materia V	Drop	Prototype Empusa	Arboretum Bifericeras	Blooming Biloko	Immaculate Apa	Muddy Mata	Withered Kaluk	12th Legion Canis Pugnax	12th Legion Rearguard	Stone Phoebad	Urolith Sentinel	Dancing Bear	Gyr Abanian Zu	Singha	Singha Cub	Hellish Naked Yumemi	Kaja Of The Seven Flames	Sea Scorpion	Uwabami	Charred Coblyn	Gigaworm	River Hikagiri	River Scorpion	River Unkiu	Joi Summoner	Karakuri Onmitsu
Battledance Materia V	Instance	The Ghimlyt Dark
Heavens' Eye Materia VII	Drop	Laboratory Eggplant	Laboratory Garlic	Laboratory Onion	Laboratory Queen	Laboratory Tomato	Terminus Lacerator	Terminus Reaper	Terminus Shadower	Terminus Slitherer	Terminus Twitcher	Anyder Harpooner	Anyder Squib	Cosmos Witchweed	Cosmos Ya-te-veo	Draco Statue	Paraporxie	Spectral Bard	Spectral Bard	Spectral Bard	Spectral Dragoon	Spectral Ink Mage	Spectral White Mage	Flanborg
Heavens' Eye Materia VII	Instance	The Heroes' Gauntlet	Amaurot	The Grand Cosmos	The Twinning	Anamnesis Anyder	Akadaemia Anyder
Quicktongue Materia VII	Drop	Laboratory Eggplant	Laboratory Garlic	Laboratory Onion	Laboratory Queen	Laboratory Tomato	Terminus Lacerator	Terminus Reaper	Terminus Shadower	Terminus Slitherer	Terminus Twitcher	Anyder Harpooner	Anyder Squib	Cosmos Witchweed	Cosmos Ya-te-veo	Draco Statue	Paraporxie	Spectral Bard	Spectral Bard	Spectral Bard	Spectral Dragoon	Spectral Ink Mage	Spectral White Mage	Flanborg
Quicktongue Materia VII	Instance	The Heroes' Gauntlet	Amaurot	The Grand Cosmos	The Twinning	Anamnesis Anyder	Akadaemia Anyder
Heavens' Eye Materia VIII	Drop	Engendered Pegasus	Engendered Soma	Evil Armor	Terminus Howler	Terminus Idolizer	Terminus Vanquisher	Anyder Diviner	Lord Tolthewil	Ser Grymme	Ser Intheran	Ser Mothbert	Ser Phinibert	Spectral Bard	Spectral Black Mage	Spectral Paladin	Spectral Samurai	Spectral Samurai	Mark CXLIV Thermocoil Boilbuster	Vitalized Iksalion
Quickarm Materia VI	Drop	Biomanufactured Brobinyak	Biomanufactured Minotaur	Proto-chimera	Rinkhals	Arboretum Leech	Arboretum Slug	12th Legion Hexadrone	12th Legion Slasher	Accursed Idol	Lightless Homunculus	Rotting Royal	The Way Of The Fist	The Way Of The Lance	Boltstorm Nue	Hellish Yumemi	Left Hand Of The Spring	Reisen Apa	Reisen Tatsunoko	Right Hand Of The Spring	Shikigami Of The Spring	Stillwind Nue	Charred Doblyn	Charred Dreadnaught	Charred Drone	Gigaworm Stalker	Veiled Gigaworm	Dragon Bi Fang	Jinmenju	River Ray	White Baboon	Harakiri Hanya	Karasu Tengu
Quickarm Materia VI	Instance	The Ghimlyt Dark
Quickarm Materia V	Drop	Prototype Empusa	Arboretum Bifericeras	Blooming Biloko	Immaculate Apa	Muddy Mata	Withered Kaluk	12th Legion Canis Pugnax	12th Legion Rearguard	Stone Phoebad	Urolith Sentinel	Dancing Bear	Gyr Abanian Zu	Singha	Singha Cub	Hellish Naked Yumemi	Kaja Of The Seven Flames	Sea Scorpion	Uwabami	Charred Coblyn	Gigaworm	River Hikagiri	River Scorpion	River Unkiu	Joi Summoner	Karakuri Onmitsu
Quickarm Materia V	Instance	The Ghimlyt Dark
Quickarm Materia VII	Drop	Laboratory Eggplant	Laboratory Garlic	Laboratory Onion	Laboratory Queen	Laboratory Tomato	Terminus Lacerator	Terminus Reaper	Terminus Shadower	Terminus Slitherer	Terminus Twitcher	Anyder Harpooner	Anyder Squib	Cosmos Witchweed	Cosmos Ya-te-veo	Draco Statue	Paraporxie	Spectral Bard	Spectral Bard	Spectral Bard	Spectral Dragoon	Spectral Ink Mage	Spectral White Mage	Flanborg
Quickarm Materia VII	Instance	The Heroes' Gauntlet	Amaurot	The Grand Cosmos	The Twinning	Anamnesis Anyder	Akadaemia Anyder
Quicktongue Materia V	Drop	Prototype Empusa	Arboretum Bifericeras	Blooming Biloko	Immaculate Apa	Muddy Mata	Withered Kaluk	12th Legion Canis Pugnax	12th Legion Rearguard	Stone Phoebad	Urolith Sentinel	Dancing Bear	Gyr Abanian Zu	Singha	Singha Cub	Hellish Naked Yumemi	Kaja Of The Seven Flames	Sea Scorpion	Uwabami	Charred Coblyn	Gigaworm	River Hikagiri	River Scorpion	River Unkiu	Joi Summoner	Karakuri Onmitsu
Quicktongue Materia V	Instance	The Ghimlyt Dark
Battledance Materia VI	Drop	Biomanufactured Brobinyak	Biomanufactured Minotaur	Proto-chimera	Rinkhals	Arboretum Leech	Arboretum Slug	12th Legion Hexadrone	12th Legion Slasher	Accursed Idol	Lightless Homunculus	Rotting Royal	The Way Of The Fist	The Way Of The Lance	Boltstorm Nue	Hellish Yumemi	Left Hand Of The Spring	Reisen Apa	Reisen Tatsunoko	Right Hand Of The Spring	Shikigami Of The Spring	Stillwind Nue	Charred Doblyn	Charred Dreadnaught	Charred Drone	Gigaworm Stalker	Veiled Gigaworm	Dragon Bi Fang	Jinmenju	River Ray	White Baboon	Harakiri Hanya	Karasu Tengu
Battledance Materia VI	Instance	The Ghimlyt Dark
Quickarm Materia VIII	Drop	Engendered Pegasus	Engendered Soma	Evil Armor	Terminus Howler	Terminus Idolizer	Terminus Vanquisher	Anyder Diviner	Lord Tolthewil	Ser Grymme	Ser Intheran	Ser Mothbert	Ser Phinibert	Spectral Bard	Spectral Black Mage	Spectral Paladin	Spectral Samurai	Spectral Samurai	Mark CXLIV Thermocoil Boilbuster	Vitalized Iksalion
Savage Aim Materia VI	Drop	Biomanufactured Brobinyak	Biomanufactured Minotaur	Proto-chimera	Rinkhals	Arboretum Leech	Arboretum Slug	12th Legion Hexadrone	12th Legion Slasher	Accursed Idol	Lightless Homunculus	Rotting Royal	The Way Of The Fist	The Way Of The Lance	Boltstorm Nue	Hellish Yumemi	Left Hand Of The Spring	Reisen Apa	Reisen Tatsunoko	Right Hand Of The Spring	Shikigami Of The Spring	Stillwind Nue	Charred Doblyn	Charred Dreadnaught	Charred Drone	Gigaworm Stalker	Veiled Gigaworm	Dragon Bi Fang	Jinmenju	River Ray	White Baboon	Harakiri Hanya	Karasu Tengu
Savage Aim Materia VI	Instance	The Ghimlyt Dark
Piety Materia V	Drop	Prototype Empusa	Arboretum Bifericeras	Blooming Biloko	Immaculate Apa	Muddy Mata	Withered Kaluk	12th Legion Canis Pugnax	12th Legion Rearguard	Stone Phoebad	Urolith Sentinel	Dancing Bear	Gyr Abanian Zu	Singha	Singha Cub	Hellish Naked Yumemi	Kaja Of The Seven Flames	Sea Scorpion	Uwabami	Charred Coblyn	Gigaworm	River Hikagiri	River Scorpion	River Unkiu	Joi Summoner	Karakuri Onmitsu
Piety Materia V	Instance	The Ghimlyt Dark
Heavens' Eye Materia VI	Drop	Biomanufactured Brobinyak	Biomanufactured Minotaur	Proto-chimera	Rinkhals	Arboretum Leech	Arboretum Slug	12th Legion Hexadrone	12th Legion Slasher	Accursed Idol	Lightless Homunculus	Rotting Royal	The Way Of The Fist	The Way Of The Lance	Boltstorm Nue	Hellish Yumemi	Left Hand Of The Spring	Reisen Apa	Reisen Tatsunoko	Right Hand Of The Spring	Shikigami Of The Spring	Stillwind Nue	Charred Doblyn	Charred Dreadnaught	Charred Drone	Gigaworm Stalker	Veiled Gigaworm	Dragon Bi Fang	Jinmenju	River Ray	White Baboon	Harakiri Hanya	Karasu Tengu
Heavens' Eye Materia VI	Instance	The Ghimlyt Dark
Quicktongue Materia VI	Drop	Biomanufactured Brobinyak	Biomanufactured Minotaur	Proto-chimera	Rinkhals	Arboretum Leech	Arboretum Slug	12th Legion Hexadrone	12th Legion Slasher	Accursed Idol	Lightless Homunculus	Rotting Royal	The Way Of The Fist	The Way Of The Lance	Boltstorm Nue	Hellish Yumemi	Left Hand Of The Spring	Reisen Apa	Reisen Tatsunoko	Right Hand Of The Spring	Shikigami Of The Spring	Stillwind Nue	Charred Doblyn	Charred Dreadnaught	Charred Drone	Gigaworm Stalker	Veiled Gigaworm	Dragon Bi Fang	Jinmenju	River Ray	White Baboon	Harakiri Hanya	Karasu Tengu
Quicktongue Materia VI	Instance	The Ghimlyt Dark
Savage Might Materia VI	Drop	Biomanufactured Brobinyak	Biomanufactured Minotaur	Proto-chimera	Rinkhals	Arboretum Leech	Arboretum Slug	12th Legion Hexadrone	12th Legion Slasher	Accursed Idol	Lightless Homunculus	Rotting Royal	The Way Of The Fist	The Way Of The Lance	Boltstorm Nue	Hellish Yumemi	Left Hand Of The Spring	Reisen Apa	Reisen Tatsunoko	Right Hand Of The Spring	Shikigami Of The Spring	Stillwind Nue	Charred Doblyn	Charred Dreadnaught	Charred Drone	Gigaworm Stalker	Veiled Gigaworm	Dragon Bi Fang	Jinmenju	River Ray	White Baboon	Harakiri Hanya	Karasu Tengu
Savage Might Materia VI	Instance	The Ghimlyt Dark
Battledance Materia VIII	Drop	Engendered Pegasus	Engendered Soma	Evil Armor	Terminus Howler	Terminus Idolizer	Terminus Vanquisher	Anyder Diviner	Lord Tolthewil	Ser Grymme	Ser Intheran	Ser Mothbert	Ser Phinibert	Spectral Bard	Spectral Black Mage	Spectral Paladin	Spectral Samurai	Spectral Samurai	Mark CXLIV Thermocoil Boilbuster	Vitalized Iksalion
Heavens' Eye Materia V	Drop	Prototype Empusa	Arboretum Bifericeras	Blooming Biloko	Immaculate Apa	Muddy Mata	Withered Kaluk	12th Legion Canis Pugnax	12th Legion Rearguard	Stone Phoebad	Urolith Sentinel	Dancing Bear	Gyr Abanian Zu	Singha	Singha Cub	Hellish Naked Yumemi	Kaja Of The Seven Flames	Sea Scorpion	Uwabami	Charred Coblyn	Gigaworm	River Hikagiri	River Scorpion	River Unkiu	Joi Summoner	Karakuri Onmitsu
Heavens' Eye Materia V	Instance	The Ghimlyt Dark
Savage Aim Materia VIII	Drop	Engendered Pegasus	Engendered Soma	Evil Armor	Terminus Howler	Terminus Idolizer	Terminus Vanquisher	Anyder Diviner	Lord Tolthewil	Ser Grymme	Ser Intheran	Ser Mothbert	Ser Phinibert	Spectral Bard	Spectral Black Mage	Spectral Paladin	Spectral Samurai	Spectral Samurai	Mark CXLIV Thermocoil Boilbuster	Vitalized Iksalion
Morbol Card	Instance	The Aurum Vale
Skyslipper Key	Instance	Eden's Gate: Sepulture (Savage)
Ahriman Card	Instance	Dzemael Darkhold
Innocent Gwiber Trumpet	Instance	The Crown of the Immaculate (Extreme)
Tonberry Card	Instance	The Wanderer's Palace	The Wanderer's Palace (Hard)
Ramuh Crystal	Instance	Eden's Verse: Refulgence (Savage)
Ruby Gwiber Trumpet	Instance	Cinder Drift (Extreme)
Shadow Gwiber Trumpet	Instance	The Minstrel's Ballad: Hades's Elegy
Fae Gwiber Trumpet	Instance	The Dancing Plague (Extreme)
Bonewicca Earring of Slaying	Instance	The Swallow's Compass
Bonewicca Earring of Casting	Instance	The Swallow's Compass
Bonewicca Earring of Fending	Instance	The Swallow's Compass
Genji Earrings of Fending	Instance	Deltascape V1.0 (Savage)
Bonewicca Earring of Healing	Instance	The Swallow's Compass
Farlander Earrings of Aiming	Instance	The Fractal Continuum (Hard)	Hells' Lid
Skallic Earring of Aiming	Instance	The Drowned City of Skalla
Genji Earrings of Casting	Instance	Deltascape V1.0 (Savage)
Farlander Earrings of Fending	Instance	The Fractal Continuum (Hard)	Hells' Lid
Bonewicca Earring of Aiming	Instance	The Swallow's Compass
Farlander Earrings of Casting	Instance	The Fractal Continuum (Hard)	Hells' Lid
Genji Earrings of Aiming	Instance	Deltascape V1.0 (Savage)
Lakshmi's Earrings of Aiming	Instance	Emanation (Extreme)
Skallic Earring of Casting	Instance	The Drowned City of Skalla
Skallic Earring of Fending	Instance	The Drowned City of Skalla
Lakshmi's Earrings of Slaying	Instance	Emanation (Extreme)
Lakshmi's Earrings of Healing	Instance	Emanation (Extreme)
Lakshmi's Earrings of Casting	Instance	Emanation (Extreme)
Genji Earrings of Slaying	Instance	Deltascape V1.0 (Savage)
Skallic Earring of Slaying	Instance	The Drowned City of Skalla
Farlander Earrings of Slaying	Instance	The Fractal Continuum (Hard)	Hells' Lid
Lakshmi's Earrings of Fending	Instance	Emanation (Extreme)
Genji Earrings of Healing	Instance	Deltascape V1.0 (Savage)
Farlander Earrings of Healing	Instance	The Fractal Continuum (Hard)	Hells' Lid
Skallic Earring of Healing	Instance	The Drowned City of Skalla
Gordian Manifesto - Page 3	Instance	Alexander - The Arm of the Father (Savage)
Tarnished Gordian Bolt	Instance	Alexander - The Fist of the Father	Alexander - The Cuff of the Father
Fiend Totem	Instance	Containment Bay S1T7 (Extreme)
Deltascape Datalog v4.0	Instance	Deltascape V4.0 (Savage)
Book of Sepulture	Instance	Eden's Gate: Sepulture (Savage)
Alexandrian Manifesto - Page 2	Instance	Alexander - The Breath of the Creator (Savage)
Sigmascape Datalog v3.0	Instance	Sigmascape V3.0 (Savage)
Midan Manifesto - Page 2	Instance	Alexander - The Cuff of the Son (Savage)
Tarnished Gordian Crank	Instance	Alexander - The Arm of the Father	Alexander - The Burden of the Father
Tarnished Gordian Spring	Instance	Alexander - The Arm of the Father	Alexander - The Burden of the Father
Alexandrian Manifesto - Page 3	Instance	Alexander - The Heart of the Creator (Savage)
Midan Manifesto - Page 3	Instance	Alexander - The Arm of the Son (Savage)
Puppet's Coin	Instance	The Puppets' Bunker
Sigmascape Datalog v4.0	Instance	Sigmascape V4.0 (Savage)
Tarnished Gordian Pedal	Instance	Alexander - The Fist of the Father	Alexander - The Cuff of the Father
Sigmascape Datalog v2.0	Instance	Sigmascape V2.0 (Savage)
Book of Iconoclasm	Instance	Eden's Verse: Iconoclasm (Savage)
Book of Descent	Instance	Eden's Gate: Descent (Savage)
Book of Furor	Instance	Eden's Verse: Furor (Savage)
Alphascape Datalog v4.0	Instance	Alphascape V4.0 (Savage)
Book of Resurrection	Instance	Eden's Gate: Resurrection (Savage)
Alphascape Datalog v2.0	Instance	Alphascape V2.0 (Savage)
Alphascape Datalog v1.0	Instance	Alphascape V1.0 (Savage)
Deltascape Datalog v3.0	Instance	Deltascape V3.0 (Savage)
Alexandrian Manifesto - Page 1	Instance	Alexander - The Eyes of the Creator (Savage)
Tarnished Gordian Lens	Instance	Alexander - The Cuff of the Father	Alexander - The Arm of the Father
Alexandrian Manifesto - Page 4	Instance	Alexander - The Soul of the Creator (Savage)
Tarnished Gordian Shaft	Instance	Alexander - The Burden of the Father
Deltascape Datalog v2.0	Instance	Deltascape V2.0 (Savage)
Deltascape Datalog v1.0	Instance	Deltascape V1.0 (Savage)
Sigmascape Datalog v1.0	Instance	Sigmascape V1.0 (Savage)
Book of Refulgence	Instance	Eden's Verse: Refulgence (Savage)
Book of Fulmination	Instance	Eden's Verse: Fulmination (Savage)
Gordian Manifesto - Page 4	Instance	Alexander - The Burden of the Father (Savage)
Midan Manifesto - Page 1	Instance	Alexander - The Fist of the Son (Savage)
Hive Totem	Instance	Thok ast Thok (Extreme)
Manufactured Coin	Instance	The Copied Factory
Horde Totem	Instance	The Minstrel's Ballad: Nidhogg's Rage
Expanse Totem	Instance	The Limitless Blue (Extreme)
Book of Inundation	Instance	Eden's Gate: Inundation (Savage)
Heavens' Ward Helm Fragment	Instance	The Minstrel's Ballad: Thordan's Reign
Goddess Totem	Instance	Containment Bay P1T6 (Extreme)
Alphascape Datalog v3.0	Instance	Alphascape V3.0 (Savage)
Midan Manifesto - Page 4	Instance	Alexander - The Burden of the Son (Savage)
Gordian Manifesto - Page 1	Instance	Alexander - The Fist of the Father (Savage)
Tarnished Gordian Chain	Instance	Alexander - The Fist of the Father
Gordian Manifesto - Page 2	Instance	Alexander - The Cuff of the Father (Savage)
Nomad's Wristbands of Slaying	Instance	Bardam's Mettle
Nomad's Wristbands of Aiming	Instance	Bardam's Mettle
Ruby Tide Bracelets of Aiming	Instance	Shisui of the Violet Tides
Alexandrian Bracelets of Casting	Instance	Alexander - The Eyes of the Creator (Savage)
Ruby Tide Bracelets of Slaying	Instance	Shisui of the Violet Tides
Alexandrian Bracelets of Aiming	Instance	Alexander - The Eyes of the Creator (Savage)
Nomad's Wristbands of Casting	Instance	Bardam's Mettle
Augmented Shire Philosopher's Bracelets	Acquire	Shire Philosopher's Accessories Coffer
Alexandrian Bracelets of Healing	Instance	Alexander - The Eyes of the Creator (Savage)
Augmented Shire Conservator's Bracelet	Acquire	Shire Conservator's Accessories Coffer
Augmented Shire Pankratiast's Bracelets	Acquire	Shire Pankratiast's Accessories Coffer
Ghost Barque Bracelet of Healing	Instance	The Sirensong Sea
Ruby Tide Bracelets of Casting	Instance	Shisui of the Violet Tides
Alexandrian Bracelets of Fending	Instance	Alexander - The Eyes of the Creator (Savage)
Alexandrian Bracelets of Slaying	Instance	Alexander - The Eyes of the Creator (Savage)
Augmented Shire Preceptor's Bracelets	Acquire	Shire Preceptor's Accessories Coffer
Nomad's Wristbands of Healing	Instance	Bardam's Mettle
Ghost Barque Bracelet of Fending	Instance	The Sirensong Sea
Ghost Barque Bracelet of Slaying	Instance	The Sirensong Sea
Ghost Barque Bracelet of Aiming	Instance	The Sirensong Sea
Ruby Tide Bracelets of Healing	Instance	Shisui of the Violet Tides
Ghost Barque Bracelet of Casting	Instance	The Sirensong Sea
Ruby Tide Bracelets of Fending	Instance	Shisui of the Violet Tides
Augmented Shire Custodian's Bracelet	Acquire	Shire Custodian's Accessories Coffer
Farlander Boots of Casting	Instance	The Fractal Continuum (Hard)	Hells' Lid
Farlander Thighboots of Fending	Instance	The Fractal Continuum (Hard)	Hells' Lid
Farlander Boots of Aiming	Instance	The Fractal Continuum (Hard)	Hells' Lid
Ivalician Enchanter's Boots	Instance	The Royal City of Rabanastre
Farlander Boots of Healing	Instance	The Fractal Continuum (Hard)	Hells' Lid
Skallic Boots of Fending	Instance	The Drowned City of Skalla
Skallic Boots of Maiming	Instance	The Drowned City of Skalla
Farlander Boots of Scouting	Instance	The Fractal Continuum (Hard)	Hells' Lid
Skallic Shoes of Healing	Instance	The Drowned City of Skalla
Skallic Shoes of Striking	Instance	The Drowned City of Skalla
Ivalician Astrologer's Boots	Instance	The Royal City of Rabanastre
Skallic Shoes of Casting	Instance	The Drowned City of Skalla
Farlander Sollerets of Maiming	Instance	The Fractal Continuum (Hard)	Hells' Lid
Farlander Sollerets of Striking	Instance	The Fractal Continuum (Hard)	Hells' Lid
Skallic Shoes of Aiming	Instance	The Drowned City of Skalla
Skallic Shoes of Scouting	Instance	The Drowned City of Skalla
Tricksome Orchestrion Roll	Instance	The Wanderer's Palace (Hard)
eScape Orchestrion Roll	Instance	Alphascape V3.0
A Battle Decisively Orchestrion Roll	Instance	Sigmascape V2.0	Sigmascape V1.0	Sigmascape V3.0
Decisions Orchestrion Roll	Instance	Deltascape V4.0
Battle Orchestrion Roll	Instance	Alphascape V1.0
A Pall Most Murderous Orchestrion Roll	Instance	The Ghimlyt Dark
Dancing Mad - Movement III Orchestrion Roll	Instance	Sigmascape V4.0
Dancing Mad - Movement I Orchestrion Roll	Instance	Sigmascape V4.0
Beneath Bloodied Banners Orchestrion Roll	Instance	Halatali (Hard)
